artist_name,count
The Shins,3
Bob Marley,3
John Martin,3
Jason Mraz,3
Norah Jones,3
Lunatic,3
French Montana,3
Yelawolf,3
Sleigh Bells,3
Sniper,3
Blur,3
Massive Attack,3
The Pogues,3
Armand Van Helden & A-TRAK present Duck Sauce,3
Ambrose Slade,3
Young Money,3
Survivor,3
Die Prinzen,3
Zebrahead,3
Rusko,3
Diane,3
Michel Teló,3
J Alvarez,3
Ich Kann Fliegen,3
Aaliyah,3
Count & Sinden,3
Suede,3
C2C,3
Status Quo,3
Laing,3
Psy,3
ZZ Top,3
SBTRKT,3
Marius Müller-Westernhagen,3
Vaya Con Dios,3
Temptations,3
The Kinks,3
Portishead,3
Childish Gambino,3
Jimmy Cliff,3
Jack White,3
Stooshe,3
Mattafix,3
D-Cup,3
Auletta,3
Wolfsheim,3
Bring Me the Horizon,3
I AM,3
Gabriella Cilmi,3
Franz Ferdinand,3
MSM,3
Glee Cast,3
Brooke Fraser,3
Joe Dolan,3
Vampire Weekend,3
Cro,3
Disclosure,3
Hot Chip,3
Richard Hawley,3
The Pierces,3
Madeon,3
Lianne La Havas,3
Pixie Lott,3
Jedward,3
Otto Knows,3
Mac Miller,3
Bloodhound Gang,3
Udo Lindenberg,3
Ennio Morricone,3
Bon Iver,3
Passenger,3
BIGBANG,3
Adam Lambert,3
John Mayer,3
Britney Spears,3
Herbert Grönemeyer,3
Craig David,3
The Fray,3
Will Smith,3
Duffy,2
Ron Pope,2
Field Music,2
Adrenaline Mob,2
Fall Out Boy,2
Polarkreis 18,2
Kindness,2
Donna Summer,2
Creedence Clearwater Revival,2
Coasters,2
The Verve,2
TV on the Radio,2
Mala,2
Amel Bent,2
Gramophonedzie,2
Luther Vandross,2
Django Django,2
Within Temptation,2
The Auteurs,2
Tulisa,2
Bury Tomorrow,2
Scritti Politti,2
Subsonica,2
Glasvegas,2
B2K,2
Doors,2
Corneille,2
ColdFrapp,2
Ina Müller,2
Bran' Nu,2
Foundations,2
Eve,2
Elton John,2
Phyllis Nelson,2
Roots Manuva,2
Cliff Richard,2
Unknown Mortal Orchestra,2
Lenny Kravitz,2
Machine Head,2
Enya,2
Thomas D,2
The Jesus & Mary Chain,2
Good Charlotte,2
Pietro Lombardi,2
Ilja Richter,2
