,artist_name,track_title,id,popularity
76,Sleigh Bells,Comeback Kid,6tLqBSLA50NwyNGIITRJ6W,39.0
77,SHINee,Lucifer,7xAACq6jlGqXw4bNCTYcm6,58.0
78,Four Tops,Loco in Acapulco,7gfAYm7X5HMSuKcO4dy8Wi,61.0
79,Katy Perry,Hot n Cold,1y4eb6hmAvsqlDOl3fx9kk,75.0
80,Aloe Blacc,I need a Dollar,3oUphdZVPyrsprZ8FgbmQS,71.0
81,Jazmine Sullivan,Bust Your Windows,56z2qI0gKcPthQF6l8AW3E,66.0
82,Delilah,Love You So,476c3SBegTEuMQzOMwVmCw,22.0
83,Glasperlenspiel,Ich bin ich,2T63F5HFAKMbA8w5hUYSrX,40.0
84,Rosenstolz,Wir sind am Leben,0qswPWTZe8YobpJGBPKOl9,17.0
85,Frida Gold,Wovon sollen wir träumen,1uKubXaFxoYl5KYiLAa0aw,55.0
86,Keane,You Are Young,6Gnks96Ein3A7S3g1fDlWf,33.0
87,Tina Turner,Private Dancer,19zkV60AUp3aqlf3R9l2z1,10.0
88,Lena,My Cassette Player,5jtLySQXvdcu7NlDV6D4X9,27.0
89,Bosse,Frankfurt Oder,3DqreYsTAqddI395zwiujR,45.0
90,Muse,Stockholm Syndrome,3ox5lIXRf4r977FsE7JfXs,63.0
91,SuperHeavy,Miracle Worker,3Mzrz4P3OJ5JGUNHeKk9jF,46.0
92,Oh Land,Perfection,2RcfeD1kA09Kjj6twD6eGs,30.0
93,Birdy,People Help the People,0YywjDvFudcaHG74NuWISy,73.0
94,Rihanna,Where Have You Been,5WQQIDU3HRaMyPkob8mpFb,78.0
95,Empire Of The Sun,We Are the People,3zEN0ii6s4DHHBpnTp3RP7,84.0
96,The Killers,Deadlines and Commitments,5qvMfYPAXfxQWDTcSS1YZe,39.0
