artist_name;track_title;id;popularity
One Direction;What Makes You Beautiful;4cluDES4hQEUhmXj6TXkSo;87
Ed Sheeran;The A Team;1VdZ0vKfR5jneCmWIUAMxK;77
B.E.P.;I Gotta Feeling;nan;nan
Busted;Air Hostess;0WVZ4YaFjDxMwOJvfAd6CO;38
Band of Horses;The Funeral;5lRzWDEe7UuedU2QPsFg0K;75
Placebo;Burger Queen;0O4bMm4rBsjS1Rhn7YxOSR;42
Luniz;I Got 5 on It;4IYKjN1DrYzxKXt0umJqsG;78
Medina;Lonely;nan;nan
Wretch 32;Forgiveness;nan;nan
Wham;Last Christmas;nan;nan
Etta;I'd Rather Go Blind;nan;nan
Police, The;Every Breath You Take;nan;nan
Take That;Rule the World;2biod1W3F2dMiR2FMSYpUt;54
Kanye;Stronger;nan;nan
Haudegen;Ich war nie bei dir;49WE4HZVte5pZortl0FZAp;19
B Bag Raiders;Way Back Home;nan;nan
Sleigh Bells;Comeback Kid;6tLqBSLA50NwyNGIITRJ6W;39
Armand Van Helden & A-TRAK present Duck Sauce;Barbra Streisand;nan;nan
SHINee;Lucifer;7xAACq6jlGqXw4bNCTYcm6;58
Lana Del Ray;Dark Paradise;nan;nan
Four Tops;Loco in Acapulco;7gfAYm7X5HMSuKcO4dy8Wi;61
Katy Perry;Hot n Cold;1y4eb6hmAvsqlDOl3fx9kk;75
Aloe Blacc;I need a Dollar;3oUphdZVPyrsprZ8FgbmQS;71
Frida Gold;Gold;nan;nan
Jazmine Sullivan;Bust Your Windows;56z2qI0gKcPthQF6l8AW3E;66
Nossa Nossa;Ai se eu te Pego;nan;nan
Jam;David Watts;nan;nan
Delilah;Love You So;476c3SBegTEuMQzOMwVmCw;22
Glasperlenspiel;Ich bin ich;2T63F5HFAKMbA8w5hUYSrX;40
Seeed;Wonderful Life;nan;nan
Rosenstolz;Wir sind am Leben;0qswPWTZe8YobpJGBPKOl9;17
DKD;Future Rage;nan;nan
Frida Gold;Wovon sollen wir träumen;1uKubXaFxoYl5KYiLAa0aw;55
Keane;You Are Young;6Gnks96Ein3A7S3g1fDlWf;33
Adam Lambert;Fever;nan;nan
Tina Turner;Private Dancer;19zkV60AUp3aqlf3R9l2z1;10
Lena;My Cassette Player;5jtLySQXvdcu7NlDV6D4X9;27
Bosse;Frankfurt Oder;3DqreYsTAqddI395zwiujR;45
Muse;Stockholm Syndrome;3ox5lIXRf4r977FsE7JfXs;63
BoB feat. Bruno Mars;Grenade;nan;nan
SuperHeavy;Miracle Worker;3Mzrz4P3OJ5JGUNHeKk9jF;46
Oh Land;Perfection;2RcfeD1kA09Kjj6twD6eGs;30
Birdy;People Help the People;0YywjDvFudcaHG74NuWISy;73
Rihanna;Where Have You Been;5WQQIDU3HRaMyPkob8mpFb;78
Reinhard Lakomy;Der Eierbecher;nan;nan
Empire Of The Sun;We Are the People;3zEN0ii6s4DHHBpnTp3RP7;84
The Killers;Deadlines and Commitments;5qvMfYPAXfxQWDTcSS1YZe;39
